Dataset Identifier	Title	Repos	Species	Instrument	Publication	LabHead	Announce Date	Keywords
PXD010256	modulation of glioma cell proteome by delta-24-rgd adenovirus (48hpi)	PRIDE	homo sapiens 	TripleTOF 5600	30503830	Enrique Santamaria	2018-12-11	biomedical, glioma, adenovirus, proteomics, 
PXD011580	modulation of glioma cell proteome by delta-24-rgd adenovirus (24hpi)	PRIDE	homo sapiens 	TripleTOF 5600	Dataset with its publication pending	Enrique Santamaria	2018-12-11	glioma, adenovirus, proteomics, 
PXD010450	the hla ligandome landscape of chronic myeloid leukemia delineates novel t-cell epitopes for immunotherapy	PRIDE	homo sapiens 	LTQ Orbitrap XL	30530751	Juliane S. Walz	2018-12-11	biomedical, chronic myeloid leukemia, mass spectrometry, immunopeptidome, 
PXD008332	glioma initiating/stem cells, differentiation, itraq analysis by qstar elite	jPOST	homo sapiens 	TripleTOF 5600	Dataset with its publication pending	Norie Araki	2018-11-29	glioblastoma, glioma initiating/stem cell, cancer stem cells, differentiation, 
PXD008331	glioma initiating/stem cells, differentiation, itraq analysis by tt5600	jPOST	homo sapiens 	TripleTOF 5600	Dataset with its publication pending	Norie Araki	2018-11-29	glioblastoma, glioma initiating/stem cell, cancer stem cells, stemness, differentiation, 
PXD011187	phosphoproteome and gene expression profiling of alk inhibition in neuroblastoma cells lines reveals conserved oncogenic pathways	PRIDE	homo sapiens 	Q Exactive; LTQ Orbitrap Elite	30459281	Bengt Hallberg	2018-11-27	biomedical, phosphoproteome,alk inhibition,neuroblastoma,oncogenic,pathways, 
PXD011186	the ikb kinase complex is a regulator of mrna stability	MassIVE	homo sapiens	Q Exactive	no publication	Klaus Scheidereit	2018-11-23	mrna stability, osteosarcoma, proteomics, ikb kinase, 
PXD006404	proteomics analysis of alk signaling in neuroblastoma cells	PRIDE	homo sapiens 	Q Exactive	30459283	Jesper V. Olsen	2018-11-21	biological, biomedical, human, neuroblastoma, alk signaling, lc-msms, 
PXD009477	phosphoroteomics analysis of alk signaling in neuroblastoma cells	PRIDE	homo sapiens 	Q Exactive	30459283	Jesper V. Olsen	2018-11-21	biomedical, human, neuroblastoma, alk signaling, lc-msms, 
PXD006769	phosphotyrosine profiling of in vivo signaling changes in erlotinib-treated glioblastoma flank xenografts	PRIDE	homo sapiens 	Q Exactive	30464169	Forest White	2018-11-06	biomedical, glioblastoma, xenografts, egfr, erlotinib, mass spectrometry, tyrosine phosphorylation, 
PXD005086	ascending colon biopsies from pediatric patients	PRIDE	homo sapiens 	LTQ Orbitrap Elite	27216938	Daniel Figeys	2018-11-06	biomedical, colon, lcmsms,, 
PXD010502	digestion of mother’s milk and fortifier proteins in the infant stomach	jPOST	homo sapiens 	LTQ Orbitrap	Dataset with its publication pending	David Dallas	2018-11-03	preterm infant, peptidomics, functional peptide, gastric digestion, bovine, human, 
PXD005650	highly reproducible improved label-free quantitative analysis of cellular phosphoproteome by optimization of lc-ms/ms gradient and analytical column construction	PRIDE	homo sapiens 	Q Exactive	28634120	Arthur Robert Salomon	2018-10-26	technical, biological, human, t cell, phosphoproteomics, q exactive, acute leukemia, label free, 
PXD002629	human γδ t-cell, lc-ms/ms	PRIDE	homo sapiens 	LTQ Orbitrap Velos	28344861	Andrea Petretto	2018-10-24	biomedical, γδ t-cell, leukemia cells, human, zolendric acid (zol), 
PXD007237	the phosphoproteomic landscape of 16 acute myeloid leukemia (aml) cell lines	PRIDE	homo sapiens 	Q Exactive	28928222	Connie Ramona Jimenez	2018-10-23	biological, biomedical, human, tyrosine kinase, acute myeloid leukemia, aml, phosphokinase ranking, label-free, single-shot, phosphoproteomics, 
PXD007759	cytoplasmic proteomics for temozolomide resistance in glioblastoma	PRIDE	homo sapiens 	Q Exactive	29687002	Yawei, Liu	2018-10-23	biomedical, glioblastoma, temozolomide resistance, subcellular proteomics, 
PXD008022	glioma proteome organization under oncolytic adenoviral infection	PRIDE	homo sapiens 	TripleTOF 5600	30123426	enrique santamaria	2018-10-22	biomedical, glioma, proteomics, adenovirus, 
PXD008023	nuclear proteomics of glioma cells infected with an oncolytic adenovirus	PRIDE	homo sapiens 	TripleTOF 5600	30123426	Enrique Santamaria	2018-10-22	biomedical, glioma, proteomics, adenovirus, nuclear fraction, 
PXD010538	protein expression in mock and neuronal nitric oxide synthase 1 (nos1) transduced sh-sy5y human neuroblastoma cells on stimulation with rapamycin or serum free starvation	PRIDE	homo sapiens 	Q Exactive	30456249	Ilka Wittig	2018-10-17	biomedical, neuronal nos, sh-sy5y human neuroblastoma, starvation, rapamycin, 
PXD009744	differential proteome analysis of human neuroblastoma xenograft primary tumors and matched spontaneous distant metastases	PRIDE	mus musculus , homo sapiens 	Orbitrap Fusion ETD	30228356	Prof. Dr. Tobias Lange	2018-09-24	biomedical, spontaneous metastasis, bioluminescence imaging, infrared laser ablation, proteome analysis, 
PXD007959	extracellular vesicles isolated from the descending colon of pediatric patients with inflammatory bowel disease and control patients	PRIDE	homo sapiens 	Q Exactive	30030445	Dr Daniel Figeys	2018-09-11	biomedical, extracellular vesicles, colon, inflammatory bowel disease, 
PXD006607	proteomic analysis of human medulloblastoma reveals distinct activated pathways between subgroups	PRIDE	homo sapiens 	Orbitrap Fusion	30205043	Damarys Loew	2018-09-10	biomedical, medulloblastoma, multiomics, proteomic, phosphoproteomic, rnaseq, methylome, whole genome sequencing, 
PXD009227	high-throughput and high-sensitivity phosphoproteomics with the easyphos platform	PRIDE	homo sapiens 	Q Exactive	30190555	Matthias Mann	2018-09-07	technical, mass spectrometry, proteomics, phosphoproteomics, phosphorylation, signal transduction, post-translational modification, egf, cancer, glioblastoma, 
PXD010776	mass spectrometry evaluation of a neuroblastoma sh-sy5y cell culture protocol	PRIDE	homo sapiens 	LTQ Orbitrap Velos	30145218	Magno Junqueira	2018-08-17	biological, cell culture, itraq, quantitative proteomics, biological variation, 
PXD008127	identification of tumor antigens among the hla peptidomes of glioblastoma tumors and plasma	PRIDE	homo sapiens 	Q Exactive	30072578	Arie Admon	2018-08-06	biomedical, hla peptidome, glioblastoma, mhla, shla,early detection, plasma, 
PXD007819	pediatric ibd mli metaproteomics	PRIDE	human gut metagenome	Q Exactive	30030445	Daniel Figeys	2018-08-03	metaproteomics, children, lc-msms, intestine, microbiome, ibd, 
PXD009578	serum autoantibodies to the glutamate receptor delta 2 in paediatric opsoclonus myoclonus ataxia syndrome	PRIDE	rattus norvegicus , homo sapiens 	Q Exactive	30045961	Roman Fischer	2018-07-30	biomedical, autoimmune, cerebellum, encephalitis, glud2, immunotherapy, opsoclonus myoclonus ataxia syndrome (omas), neuroblastoma, paraneoplastic,, 
PXD008311	the impact of oncogenic egfrviii on the proteome of extracellular vesicles (exosomes) released from glioblastoma cells	PRIDE	homo sapiens 	Orbitrap Fusion	30006486	Janusz Rak	2018-07-30	egfrviii, oncogene, extracellular vesicles, exosomes, invasion, heterogeneity, glioblastoma, glioma, cancer, nano-flow cytometry, 
PXD007969	human glioblastoma cell line secretome lc-ms/ms	PRIDE	homo sapiens 	LTQ Orbitrap	29622771	Cheolju Lee	2018-07-16	biomedical, human, brain, glioblastoma, 
PXD008925	molt-4 radiosensitization by ve-821	PRIDE	homo sapiens 	Q Exactive	30001349	Aleš Tichý	2018-07-16	biomedical, ionizing radiation, small-molecule kinase inhibitors, ve-821, atr kinase, dna damage response, radio-sensitization, quantitative shotgun phosphoproteomics, titanium dioxide chromatography, silac, leukemia, m
PXD005864	proteomic analysis of neuroblastoma-derived exosomes lc-ms	PRIDE	homo sapiens 	LTQ Orbitrap Velos	28722341	Andrea Petretto	2018-07-05	biomedical, exosomes, metastasis, neuroblastoma, proteomics, signature, 
PXD005426	concert between cytokines and costimulatory domains to optimize chimeric antigen receptor immunotherapy in neuroblastoma model	PRIDE	homo sapiens 	LTQ Orbitrap Velos	29872565	Andrea Petretto	2018-06-27	biomedical, human, car, lc-ms/ms, phosphoproteomics, 
PXD008035	mesenchymal stem cells enhance tumorigenic properties of human glioblastoma cells through independent cell-cell communication mechanisms	PRIDE	homo sapiens 	Q Exactive	29872504	Oswaldo Keith Okamoto	2018-06-13	biological, biomedical, glioblastoma, tumor microenvironment, mesenchymal stem cells, aggressiveness, 
PXD008750	proteogenomic analysis of medulloblastoma	PRIDE	homo sapiens 	LTQ Orbitrap XL	29880060	Brian R. Rood	2018-06-10	biomedical, human, pediatrics, brain tumor, medulloblastoma, silac, 
PXD009338	protein interactions of 7 mll-fusion proteins	PRIDE	homo sapiens 	LTQ Orbitrap Velos	29777171	Florian Grebien	2018-05-25	biomedical, human, mll-fusion, leukemia, 
PXD006775	characterization of developing proteome during early childhood	PRIDE	homo sapiens 	Q Exactive	29650987	Riitta Lahesmaa	2018-04-18	biological, biomedical, human, serum proteome, pediatric, 
PXD008963	mudpit analyses of the proteins associated with kelch-like protein 6 (klhl6) in a human multiple myeloma cell line, arp-1, and in hek293t cells	PRIDE	homo sapiens 	LTQ	Dataset with its publication pending	Laurence Florens	2018-03-27	biomedical, kelch-like protein 6 (klhl6), diffuse large b-cell lymphoma (dlbcl), cullin-ring ubiquitin ligase (crl),, 
PXD007884	temporal expression profiling of plasma proteins in type 1 diabetes progression	PRIDE	homo sapiens 	Q Exactive	28993202	Qibin Zhang	2018-03-08	biomedical, temporal proteome change, type 1 diabetes, tmt10, pediatric plasma proteome, longitudinal profiling, 
PXD005245	quantitative proteomic analysis of glioblastoma subpopulations	PRIDE	homo sapiens 	Orbitrap Fusion ETD	29507698	Frank Kjeldsen	2018-03-08	biomedical, cancer, glioblastoma, shotgun proteomics, lcms, superquant, 
PXD008287	the hdac inhibitor saha regulates cbx2 stability via a sumo-triggered ubiquitin-mediated pathway in leukemia	PRIDE	homo sapiens 	Q Exactive	Dataset with its publication pending	Lucia Altucci	2018-02-27	saha, sumoylation, cbx2, leukemia, 
PXD008378	proteomic characterization of cd34+ cd123+ stem cells from patients with acute myeloid leukemia	PRIDE	homo sapiens 	Q Exactive	29439554	Martin von Bergen	2018-02-19	biomedical, acute myeloid leukemia, aml, lc-ms, proteomics, 
PXD000664	identification of a novel poly-n-acetyllactosamine counterreceptor for galectin-8 on hl-60 cells, basigin	PRIDE	homo sapiens 	LTQ Orbitrap	Dataset with its publication pending	Duc Duong	2018-02-09	lc-ms/ms, leukemia, hl60, galectin 8, receptor, 
PXD007909	the ewing sarcoma secretome and its response to activation of wnt/beta- catenin signaling	PRIDE	homo sapiens 	Q Exactive HF	29386236	Elizabeth R. Lawlor	2018-02-07	biomedical, ewing sarcoma, secretome, wnt/beta-catenin, extracellular matrix, label-free mass spectrometry, tumor microenvironment, 
PXD008361	preservation methods and pbs washing affect the aml proteome	PRIDE	homo sapiens 	Q Exactive; LTQ Orbitrap Elite	29351208	Frode Selheim	2018-01-19	technical, aml, pbs, dmso, storage conditions, 
PXD008668	mudpit analyses of the proteins associated with kelch-like protein 6 (klhl6) in a human multiple myeloma cell line, arp-1, and in hek293t cells	MassIVE	homo sapiens	LTQ	no publication	Laurence Florens	2018-01-12	kelch-like protein 6 (klhl6), diffuse large b-cell lymphoma (dlbcl), cullin-ring ubiquitin ligase (crl), mrna decay factor roquin2, 
PXD006069	functional marker in glioblastoma	PRIDE	homo sapiens 	LTQ Orbitrap	28602620	Martina Schnoelzer	2018-01-10	biomedical, glioblastoma, cancer stem cells, integrin alpha 7, glioma cell invasion, stem cell marker, high throughput antibody screening, 
PXD006572	aging-related proteome alterations in b cells may predispose for chronic lymphocytic leukemia - cytoplasmic proteins of young b cells	PRIDE	homo sapiens 	Q Exactive	29196338	Christopher Gerner	2018-01-05	chronic lymphocytic leukemia, primary human b lymphocytes, shotgun proteomics, aging, glutaminolysis, fatty acid beta oxidation, q exactive orbitrap, 
PXD006570	aging-related proteome alterations in b cells may predispose for chronic lymphocytic leukemia - cytoplasmic proteins of elderly b cells	PRIDE	homo sapiens 	Q Exactive	29196338	Christopher Gerner	2017-12-07	chronic lymphocytic leukemia, primary human b lymphocytes, shotgun proteomics, aging, glutaminolysis, fatty acid beta oxidation, q exactive orbitrap, 
PXD006591	aging-related proteome alterations in b cells may predispose for chronic lymphocytic leukemia - cytoplasmic proteins of jvm-13 cells	PRIDE	homo sapiens 	Q Exactive	29196338	Christopher Gerner	2017-12-06	biological, biomedical, chronic lymphocytic leukemia, primary human b lymphocytes, shotgun proteomics, aging, glutaminolysis, fatty acid beta oxidation, q exactive orbitrap, 
PXD006590	aging-related proteome alterations in b cells may predispose for chronic lymphocytic leukemia - nuclear proteins of jvm-13 cells	PRIDE	homo sapiens 	Q Exactive	29196338	Christopher Gerner	2017-12-06	biological, biomedical, chronic lymphocytic leukemia, primary human b lymphocytes, shotgun proteomics, aging, glutaminolysis, fatty acid beta oxidation, q exactive orbitrap, 
PXD006589	aging-related proteome alterations in b cells may predispose for chronic lymphocytic leukemia - nuclear proteins of cll cells	PRIDE	homo sapiens 	Q Exactive	29196338	Christopher Gerner	2017-12-06	biological, biomedical, chronic lymphocytic leukemia, primary human b lymphocytes, shotgun proteomics, aging, glutaminolysis, fatty acid beta oxidation, q exactive orbitrap, 
PXD006578	aging-related proteome alterations in b cells may predispose for chronic lymphocytic leukemia - cytoplasmic proteins of cll cells	PRIDE	homo sapiens 	Q Exactive	29196338	Christopher Gerner	2017-12-06	biological, biomedical, chronic lymphocytic leukemia, primary human b lymphocytes, shotgun proteomics, aging, glutaminolysis, fatty acid beta oxidation, q exactive orbitrap, 
PXD006576	aging-related proteome alterations in b cells may predispose for chronic lymphocytic leukemia - nuclear proteins of young b cells	PRIDE	homo sapiens 	Q Exactive	29196338	Christopher Gerner	2017-12-06	biological, biomedical, chronic lymphocytic leukemia, primary human b lymphocytes, shotgun proteomics, aging, glutaminolysis, fatty acid beta oxidation, q exactive orbitrap, 
PXD006571	aging-related proteome alterations in b cells may predispose for chronic lymphocytic leukemia - nuclear proteins of elderly b cells	PRIDE	homo sapiens 	Q Exactive	29196338	Christopher Gerner	2017-12-06	chronic lymphocytic leukemia, primary human b lymphocytes, shotgun proteomics, aging, glutaminolysis, fatty acid beta oxidation, q exactive orbitrap, 
PXD002659	lc-ms/ms analysis of daoy and uw228 medulloblastoma cell lines	PRIDE	homo sapiens 	Q Exactive	28248256	Susan Fanayan	2017-10-27	biomedical, daoy, uw228, medulloblastoma, lc-ms/ms, 
PXD005962	genome-resolved metaproteomic characterization of preterm infant gut microbiota development reveals core metabolic functions and variability during early-life	MassIVE	gut microbiota of human preterm infants	LTQ Orbitrap Elite	28693612	Robert L. Hettich	2017-10-26	metaproteome, human infant gut, shotgun proteomics, 
PXD007552	an informatic approach to chimeric antigen receptor discovery integrates proteomics and transcriptomics to identify novel combinatorial pairs	PRIDE	homo sapiens 	Q Exactive	29017060	Michel Sadelain	2017-10-24	biological, biomedical, human aml cell lines lc-msms, 09aml, kasumi, molm13, monomac, tf, thpi, 
PXD005880	human acute myeloid leukemia (aml) cell line lfq, comparison between doxycycline-inducible control shrna and pim2 shrna	PRIDE	homo sapiens 	Q Exactive Plus	28914261	Jerome TAMBURINI	2017-09-18	biomedical, aml, pim2, rna interference, lfq, 
PXD005487	proteome of hypoxic  glioblastoma cells	PRIDE	homo sapiens 	Q Exactive	28874504	Kangling Zhang	2017-09-12	biomedical, hypoxia, glioblastoma, 
PXD007280	proteome analysis of hypoxic glioblastoma cells reveals sequential metabolic adaptation of one-carbon metabolic pathways	PRIDE	homo sapiens 	Q Exactive	28874504	Kangling Zhang	2017-09-07	cancer (b/d-hpp), biology/disease-driven human proteome project (b/d-hpp), human proteome project, biological, biomedical, hypoxia, one carbon, protein pathways, proteomics, 
PXD007046	mutant jak3 phosphoproteomic profiling predicts synergism between jak3 inhibitors and mek/pi3k/bcl2 inhibitors for the treatment of t-cell acute lymphoblastic leukemia	MassIVE	mus musculus, homo sapiens	Q Exactive	no publication	Dr. Matt Dun	2017-08-21	t-all, jak3, l857q, m511i, tmt10plex, dda, prm, phosphoproteomic profiling, 
PXD004420	proteome profiling of blood plasma-derived exosomes in chronic lymphocytic leukemia	PRIDE	homo sapiens 	LTQ Orbitrap XL	28754746	Martina Seiffert	2017-08-09	biomedical, extracellular vesicles, microvesicles, cll, mass spectrometry, chronic lymphocytic leukemia, tumor microenvironment, maxquant, 
PXD006702	lc-ms/ms of human t-all following 12h of atr inhibition	PRIDE	homo sapiens 	Q Exactive; LTQ Orbitrap	Dataset with its publication pending	Caius Radu	2017-07-31	biomedical, huamn, t-all, ccrf-cem, atri, lc-ms/ms, proteomics, phosphoproteomics, 
PXD005574	metaproteomics on preterm infant stool	PRIDE	homo sapiens , bacteria	LTQ Orbitrap	28684633	Sjef Boeren	2017-07-14	biological, preterm infant, microbiota, metaproteomics, stool, 
PXD001828	nup98-hoxa9 acute myeloid leukemia	PRIDE	homo sapiens 	LTQ Orbitrap Velos	28630438	Javier Mu�oz	2017-07-10	biomedical, fusion protein nup98-hoxa9, aml, protein-protein interactions, 
PXD005073	kinase activity ranking (kar) quantifies the contribution of protein kinases to the regulation of cell viability	PRIDE	homo sapiens 	LTQ Orbitrap	28674151	Pedro Casado Izquierdo	2017-07-06	biomedical, aml kinase phosphorylation, 
PXD003469	functional proteogenomics reveals biomarkers and therapeutic targets in lymphomas	PRIDE	homo sapiens 	LTQ Orbitrap XL	28607076	Kojo Elenitoba-Johnson	2017-06-19	biomedical, ms/ms,b-cell lymphoma, glycoproteomics, 
PXD006475	global phosphoproteome analysis of human bone marrow reveals predictive phosphorylation markers for the treatment of acute myeloid leukemia with quizartinib	PRIDE	homo sapiens 	LTQ Orbitrap Velos	24247654	Christoph Schaab	2017-05-10	biomedical, biomarker, classification, aml, ac220, quizartinib, phosphoproteomics,  response prediction, 
PXD004442	phosphoproteome analysis reveals differential mode of action of sorafenib in wildtype and mutated flt3 aml cells	PRIDE	homo sapiens 	LTQ Orbitrap Velos	28450419	Christoph Schaab	2017-05-02	biomedical, acute myeloid leukemia, flt3, phosphoproteomics, sorafenib, 
PXD001963	proteome alterations associated with transformation of multiple myeloma to secondary plasma cell leukemia	PRIDE	homo sapiens 	LTQ Orbitrap	28038447	Geir Slupphaug	2017-05-02	biomedical, pcl, mm, secondary, plasma, cell, leukemia, myeloma, 
PXD002765	proteomics analysis of synergistic drug combination of midostaurin and bms-754807 in ewing sarcoma asp14 cell line	PRIDE	homo sapiens 	Q Exactive	28062706	Jesper Velgaard Olsen	2017-04-19	biomedical, human, ewing sarcoma, drug synergy, lc-msms, 
PXD004746	antigen presentation profiling reveals t-cell recognition of lymphoma immunoglobulin neoantigens	PRIDE	homo sapiens 	LTQ Orbitrap Elite	28329770	Joshua E Elias	2017-03-27	biological, biomedical, human, mantle cell lymphoma, antigen presentation, mhc, ltq orbitrap elite, 
PXD005704	antigen presentation profiling reveals t-cell recognition of lymphoma immunoglobulin neoantigens	PRIDE	homo sapiens 	LTQ Orbitrap Elite	28329770	Joshua E Elias	2017-03-27	biological, biomedical, human, ltq orbitrap elite, antigen presentation, mhc class i, 
PXD001170	aml_profiling	PRIDE	homo sapiens 	LTQ Orbitrap Elite	28176486	Mike Moran	2017-02-16	biomedical, acute myeloid leukemia, aml, lc-ms/ms, proteome, pyome, ptpome, 
PXD005605	proteomic analysis of cell cycle arrest and differentiation induction caused by atpr, a derivative of all-trans retinoic acid, in human gastric cancer sgc-7901 cells	PRIDE	homo sapiens 	LTQ Orbitrap	28164444	Quan Xia	2017-02-13	biomedical, atpr，cell cycle arrest and differentiation，proteomics analysis，pi3k-akt-foxo-p27kip1 pathway，sgc-7901 cells, 
PXD004936	comprehensive metaboproteomics of burkitt’s and diffuse large b-cell lymphoma cell lines and primary tumor tissues	PRIDE	homo sapiens 	TripleTOF 5600	28161958	Prof. Dr. Peter Oefner	2017-02-08	biomedical, bl, dlbcl, swath-ms, ffpe, cell lines, cryopreserved, 
PXD000970	glioma stem cells	PRIDE	homo sapiens 	Q Exactive; LTQ Orbitrap Elite	28087597	Albert J.R. Heck	2017-02-02	prime-xs project, biomedical, human, glioma, stem cells, lc/ms/ms, phosphoproteome, 
PXD004801	improved plasma membrane proteome coverage with a label-free non-affinity-purified workflow	PRIDE	homo sapiens 	LTQ Orbitrap Elite	28116781	Steven H. Seeholzer	2017-01-31	biological, biomedical, label-free, proteomics, plasma membrane, go term, leukemia, 
PXD004241	quantitative proteomic analysis of hiv-1 tat-induced dysregulation in sh-sy5y neuroblastoma cells	PRIDE	homo sapiens 	LTQ Orbitrap Elite	28101920	Jonathan Blackburn	2017-01-29	biomedical, neuroblastoma, proteomics, network analysis, 
PXD005334	anti-warburg effect elicited by mitochondrial biogenesis drives differentiation of glioblastoma cells into astroglial cells	PRIDE	homo sapiens 	TripleTOF 5600	28076790	Guangmei Yan	2017-01-16	biological, biomedical, lc-ms/ms, glioblastoma, human, 
PXD005233	mudpit analysis of the proteins interacting with truncations of the mixed lineage leukemia (mll/kmt2a)	MassIVE	homo sapiens	LTQ	; ...		2017-01-09	mixed lineage leukemia, histone-lysine n-methyltransferase, interleukin 1 receptor associated kinase, ubiquitin-conjugating enzyme e2 o, complex of proteins associated with set1 (compass), 
PXD002774	proteomic profiling of retinoblastoma by high resolution mass spectrometry	PRIDE	homo sapiens 	LTQ Orbitrap Velos	27799869	Dr. Sailaja V Elchuri	2017-01-03	biomedical, retinoblastoma, retina, itraq, cancer, mass spectrometry, quantitative proteomics, 
PXD004181	hsp90 promotes burkitt lymphoma cell survival by maintaining tonic b cell receptor signaling	PRIDE	homo sapiens 	Q Exactive	28064214	Henning Urlaub	2017-01-02	biomedical, hsp90, burkitt’s lymphoma , bcr signaling, syk, mass spectrometry, phosphoproteomics, 
PXD004945	glioma proteome	PRIDE	homo sapiens 	LTQ Orbitrap Velos; Orbitrap Fusion	27834733	Sophia Doll	2016-12-23	biological, primary vs. secondary glioblastoma, phosphoproteomics, mek pi3k inhibition, epigenetics, 
PXD004437	evaluation of non-supervised maldi mass spectrometry imaging combined to microproteomics for glioma grade iii classification	PRIDE	homo sapiens 	Q Exactive	27890679	Michel Salzet	2016-12-21	technical, biomedical, anaplastic glioma, matrix-assisted laser desorption/ionization mass spectrometry imaging, microproteomics, 
PXD004278	mzh29 is a novel potent flt3 tyrosine kinase inhibitor with activity of overcoming drug resistant mutations in aml	PRIDE	apis mellifera , homo sapiens 	Q Exactive	27773927	Wei Ge	2016-12-12	biomedical, tyrosine kinases inhibitor, aml, drug resistance, mv4-11, 
PXD000332	n-linked glycosylation enrichment for in-depth cell surface proteomics and the classification of diffuse large b-cell lymphoma subtypes	PRIDE	homo sapiens 	LTQ Orbitrap Velos	24190977	Matthias Mann	2016-08-25	biomedical, biological, diffuse large b-cell lymphoma, glycoproteome, n-linked glycosylation, 
PXD004434	human milk oligosaccharides and infant fecal oligosaccharides	PRIDE	homo sapiens 	6520 Quadrupole Time-of-Flight LC/MS; 6220 Time-of-Flight LC/MS	27435585	Carlito B. Lebrilla	2016-07-26	oligosaccharide, milk, feces, liquid chromatography, mass spectrometry, 
PXD003790	hla peptides (lc-msms) induced by decitabine in glioblastoma cell lines	PRIDE	homo sapiens 	Q Exactive	27412690	Arie Admon	2016-07-18	human immuno-peptidome project (hupo-hipp), biology/disease-driven human proteome project (b/d-hpp), human proteome project, biomedical, hla peptides, glioblastoma, decitabine, 
PXD001485	foxp1 is a transcriptional coactivator of wnt/β-catenin signaling in diffuse large b-cell lymphoma	PRIDE	homo sapiens 	LTQ Orbitrap Velos	25650440	Michael Ben Major	2016-07-05	biomedical, foxp1, gain-of-function screening, flag apms, wnt signaling, 
PXD001516	cll itraq3	PRIDE	homo sapiens 	TripleTOF 5600	25645933	Rosalind Elspeth Jenkins	2016-06-27	biomedical, human, itraq, leukemia, mutation, 
PXD001515	cll itraq2	PRIDE	homo sapiens 	TripleTOF 5600	25645933	Rosalind Elspeth Jenkins	2016-06-27	biomedical, human, itraq, leukemia, mutation, 
PXD001512	cll itraq1	PRIDE	homo sapiens 	TripleTOF 5600	25645933	Rosalind Elspeth Jenkins	2016-06-27	biomedical, human, itraq, leukemia, mutation, 
PXD003492	elucidation of tonic and activated b cell receptor signaling in burkitt’s lymphoma provides insights into regulation of cell survival	PRIDE	homo sapiens 	LTQ Orbitrap Velos; Q Exactive	27155012	Henning Urlaub	2016-05-09	lymphoma, b cell receptor, phosphoproteome, cancer biology, 
PXD003822	human aml patient samples, method optimization, lc-msms	PRIDE	homo sapiens 	LTQ Orbitrap Elite	27107777	Frode Steingrimsen Berven	2016-04-26	biomedical, technical, human, aml cells, sample preparation, label-free, super-silac, phosphopeptide enrichment, lc-msms, ltq-orbitrap elite, 
PXD003914	identification of proteins sensitive to thermal stress in human neuroblastoma and glioma cell lines	PRIDE	homo sapiens 	QSTAR	23145051	David R. Borchelt	2016-04-11	biomedical, sh-sy5y, ccf-sttg1, heatshock, cultured cell, detergent insoluble, 
PXD001994	mir-126 governs human leukemia stem cell quiescence and therapeutic resistance	PRIDE	homo sapiens 	Orbitrap Fusion ETD	26832662	John E. Dick	2016-03-31	biomedical, aml, mir126, global proteomics, scx, stem cells, 
PXD001778	quantitative proteomics reveals metabolic differences in homing and non-homing glioma stem cell xenografts and stromal cells	PRIDE	homo sapiens , mus musculus , homo sapiens/mus musculus xenograft	LTQ Orbitrap Elite	j.euprot.2015.06.006	Carol L. Nilsson	2016-02-17	biomedical, glioblastoma, bone marrow-derived human mesenchymal stem cells (bm-hmscs), mass spectrometry, cancer proteomics, transcriptomics, fatty acid metabolism glycolysis, pentose phosphate pathway, glycosylation, 
PXD003478	human aml secretome and exosomes and correlation with anti-apoptotic index, part 4	PRIDE	homo sapiens 	Q Exactive	26801919	Connie Ramona Jimenez	2016-02-03	biomedical, human, aml, secretome, exosome, extracellular vesicles, acute myloid leukemia, anti apoptotic index, 
PXD001487	human aml secretome and exosomes and correlation with anti-apoptotic index, part 3	PRIDE	homo sapiens 	Q Exactive	26801919	Connie Ramona Jimenez	2016-02-03	biomedical, human, aml, secretome, exosome, extracellular vesicles, acute myloid leukemia, 
PXD003471	human aml secretome and exosomes and correlation with anti-apoptotic index, part 2	PRIDE	homo sapiens 	LTQ FT	26801919	Connie Ramona Jimenez	2016-02-03	biomedical, human, aml, cell lysate, acute myloid leukemia, 
PXD001476	human aml secretome and correlation with anti-apoptotic index, part 1	PRIDE	homo sapiens 	LTQ FT	26801919	Connie Ramona Jimenez	2016-02-03	biomedical, human, aml, secretome, 
PXD002614	quantitative phosphoproteome analysis of glioblastoma stem cells	PRIDE	homo sapiens 	LTQ Orbitrap Velos	26670566	Masaaki Oyama	2016-01-13	biomedical, quantitative phosphoproteomics, silac, nanolc-ms/ms, human, glioblastoma stem cells, 
PXD001565	evaluation of phospho-tyrosine antibodies for label-free phosphoproteomics	PRIDE	homo sapiens 	Q Exactive	25890253	Connie Ramona Jimenez	2015-12-09	technical, human, label-free, single-shot, phosphoproteomics, phosphotyrosine, ptyr ip, glioblastoma, u87, 
PXD003239	global subcellular characterization of protein degradation using quantitative proteomics	PRIDE	homo sapiens 	Q Exactive	23242552	Angus Lamond	2015-11-30	biological, u2os, prr11, nuclear, cytosolic, membrane, cytoskeletal,osteosarcoma cells, 
PXD002454	global quantitative proteomic analysis of human glioma cells profiled host protein expression in response to enterovirus type 71 infection	PRIDE	homo sapiens 	TripleTOF 5600	26350028	Lei-Ke Zhang	2015-09-15	biomedical, ev71, silac, quantitative proteomics, traf2, traf6, 
PXD002052	machine learning based classification of diffuse large b-cell lymphoma patients by their protein expression  profiles	PRIDE	homo sapiens 	Q Exactive	26311899	Matthias Mann	2015-09-09	biomedical, lymphoma, proteomics, classification, svm, hybrid lfq, 
